loanID,source,target,amount
l0140,Thurrock,Derby,18705.48
l0141,Thurrock,Bedford,16592.05
l0142,Thurrock,Hampshire Police,16109.59
l0143,Thurrock,Hampshire Fire Authority,13463.01
l0144,Thurrock,Tamworth,13463.01
l0145,Thurrock,Eden,13263.56
l0146,Thurrock,Wiltshire,11842.47
l0147,Thurrock,Lancaster,11342.37
l0148,Thurrock,New Forest,9723.29
l0149,Thurrock,Swindon,9700
l0150,Thurrock,Powys,5657.53
l0151,Thurrock,South Gloucestershire,4736.99
l0152,Thurrock,Torfaen,3846.58
