latitude,longitude,farm,date
54.851750,-6.162420,Poultry,20/09/2011
54.295730,-6.585700,Poultry,08/06/2012
54.649430,-6.252750,Poultry,17/04/2012
54.428900,-7.132840,Poultry,25/06/2012
54.203380,-6.671480,Poultry,08/06/2012
54.663930,-7.478650,Poultry,22/10/2012
54.545560,-6.836700,Poultry,29/08/2012
54.598700,-6.144720,Poultry,13/11/2012
54.473550,-6.810020,Poultry,22/10/2012
54.975070,-6.988850,Poultry,09/04/2013
54.999270,-6.311150,Poultry,30/01/2013
55.057590,-6.657790,Poultry,22/01/2013
54.433980,-6.783100,Poultry,21/05/2013
54.798590,-6.247160,Poultry,01/05/2013
54.386460,-6.510420,Poultry,11/09/2013
54.601995,-7.312546,Poultry,09/10/2013
54.513570,-6.243330,Poultry,10/09/2013
54.896450,-6.225340,Poultry,10/10/2013
54.879900,-6.194960,Poultry,10/09/2013
54.769180,-6.109900,Poultry,11/10/2013
55.054190,-6.304500,Poultry,11/10/2013
54.851750,-6.162420,Poultry,06/05/2014
54.394590,-6.255520,Poultry,03/09/2013
54.282590,-6.519320,Poultry,05/11/2013
54.341790,-6.133000,Poultry,06/05/2014
54.998920,-6.304990,Poultry,06/02/2015
54.932150,-6.400790,Poultry,16/01/2015
54.465620,-6.131480,Poultry,18/04/2014
54.466880,-6.261640,Poultry,16/01/2015
54.999820,-6.518130,Poultry,08/01/2015
54.507850,-6.276110,Poultry,21/01/2015
54.986810,-6.365790,Poultry,18/04/2016
54.412310,-7.135710,Poultry,23/01/2015
54.821710,-6.808280,Poultry,03/02/2015
54.733670,-6.340320,Poultry,08/06/2015
54.249860,-6.450510,Poultry,06/02/2015
54.569880,-6.691260,Poultry,06/03/2015
54.685830,-6.180300,Poultry,08/01/2015
54.767130,-5.770270,Poultry,21/01/2015
55.064330,-6.090110,Poultry,27/03/2015
54.270930,-6.499680,Poultry,18/02/2015
54.280500,-6.526190,Poultry,23/03/2015
54.220780,-6.143420,Poultry,19/05/2015
54.507780,-7.196620,Poultry,26/01/2015
54.716170,-5.882950,Poultry,24/06/2015
54.496650,-6.957180,Poultry,15/05/2015
54.622470,-6.929710,Poultry,06/03/2015
54.458140,-6.229560,Poultry,08/05/2015
54.617260,-7.067340,Poultry,15/07/2015
55.055750,-6.068060,Poultry,23/06/2015
54.499570,-6.132790,Poultry,15/06/2015
54.884890,-6.445100,Poultry,16/07/2015
55.183620,-6.557600,Poultry,17/08/2015
54.494040,-5.887880,Poultry,09/09/2015
54.383190,-6.571350,Poultry,16/09/2015
55.054190,-6.304500,Poultry,16/09/2015
54.389610,-7.122710,Poultry,23/10/2015
54.346130,-6.750920,Poultry,09/09/2015
55.033010,-6.086590,Poultry,21/12/2015
54.902220,-6.245450,Poultry,29/09/2015
54.158840,-6.597680,Poultry,12/02/2016
54.401120,-5.697960,Poultry,09/11/2015
54.870150,-6.192550,Poultry,04/01/2016
54.940050,-6.280820,Poultry,30/12/2015
54.722150,-6.388580,Poultry,04/01/2016
54.395160,-6.783280,Poultry,18/11/2015
54.478110,-5.812990,Poultry,19/02/2016
