columnOne,columnTwo,columnThree
Dorset,South West,0.30%
Milton Keynes,South East,0.30%
Redbridge,London,0.27%
Somerset,South West,0.26%
Tower Hamlets,London,0.25%
Trafford,North West,0.24%
Havering,London,0.19%
Solihull,West Midlands,0.18%
Windsor and Maidenhead,South East,0.15%
Greenwich,London,0.15%
